,gen.name2,d.rate10,d.rate16,d.rate22,water.niche.low,water.high,water.max.r,water.mpa.at.max.r,temp.temp.at.max.rate,e.rate,d.rate.geo
1,Armillaria_gallica_FP102531_C6D,4.07,10.21,17.12,0.45,3.46,0.389915068,-0.89,25,0.25,8.93
2,Armillaria_gallica_EL8_A6F,3.2,1.89,15.42,0.47,2.55,0.568402044,-0.78,29.8,0.35,4.54
3,Armillaria_gallica_FP102534_A5A,2.94,6.09,11,0.47,4.18,0.361211721,-0.92,25.1,0.21,5.81
4,Armillaria_gallica_FP102535_A5D,3.78,7.23,12.3,0.34,4.64,0.294313062,-0.85,25.8,0.25,6.95
5,Armillaria_gallica_FP102542_A5B,2.35,5.9,9.2,0.52,3.09,0.555147542,-0.9,23.9,0.25,5.03
6,Armillaria_gallica_HHB12551_C6C,2.03,0.11,39.51,0.19,4.34,0.352634059,-0.68,25.7,0.49,2.04
7,Armillaria_gallica_OC1_A6E,2.29,1.92,9.26,0.49,2.85,0.459362594,-0.84,29.9,0.25,3.44
8,Armillaria_gallica_SH1_A4A,2.18,0.34,10.78,0.17,2.21,0.688112713,-0.41,26.2,0.76,2
9,Armillaria_sinapina_PR9,1.72,6.76,8.28,0.15,1.89,0.738989284,-0.36,26.4,0.77,4.58
10,Armillaria_tabescens_FP102622_A3C,3.56,0.14,13.28,0.22,3.65,0.445579967,-0.62,27.6,0.5,1.89
11,Armillaria_tabescens_TJV93_261_A1E,2.83,3.67,12.75,0.11,1.43,1.01992071,-0.27,24.7,1.07,5.1
12,Fomes_fomentarius_TJV93_7_A3E,10.41,21.26,47.24,0.1,1.29,4.777815358,-0.24,27.3,4.71,21.87
13,Hyphodontia_crustosa_HHB13392_B7B,4.29,13.38,13.62,0.09,1.28,1.91152886,-0.23,25.6,1.96,9.21
14,Hyphoderma_setigerum_HHB12156_B3H,5.64,6.28,12.45,0.12,1.31,4.726253434,-0.26,26.8,4.11,7.61
15,Hyphoderma_setigerum_FP150263_B2C,2.67,5.63,18.82,0.36,1.74,4.805031058,-0.56,26.7,4.7,6.57
17,Laetiporus_conifericola_HHB15411_C8B,2.29,20.28,7.6,0.3,1.52,5.233270444,-0.56,27.1,5.16,7.07
18,Lentinus_crinitus_PR2058_C1B,3.47,9.3,16.01,0.13,1.68,5.936369698,-0.31,33.8,6.38,8.02
21,Mycoacia_meridionalis_FP150352_C4E,2.16,5.67,7.96,0.09,1.28,1.317602262,-0.23,25.8,1.3,4.6
22,Merulius_tremullosus_FP102301_C3E,22.78,32.27,53.5,0.12,1.31,11.39773796,-0.26,30.4,10.62,34.01
23,Merulius_tremellosus_FP150849_C3F,13.52,15.95,43.91,0.14,1.38,10.10426936,-0.28,30.3,9.62,21.15
24,Phlebiopsis_flavidoalba_FP102185_B12D,11.18,18.52,27.94,0.15,1.72,7.848384865,-0.33,30.7,8.04,17.95
25,Phlebiopsis_flavidoalba_FP150451_A8G,6.4,8.89,25.93,0.27,2.81,10.97296025,-0.58,27.4,10.8,11.38
26,Phellinus_gilvus_HHB11977_C4H,5.15,19.47,42.09,0.31,1.71,4.222930764,-0.6,31.5,4.04,16.16
27,Phellinus_hartigii_DMR94_44_A10E,2.3,12.86,17.39,0.42,1.99,1.824692822,-0.65,19.1,1.54,8.01
28,Porodisculus_pendulus_HHB13576_B12C,2.61,2.43,4.36,0.34,1.58,4.454101278,-0.64,26.4,4.06,3.02
29,Phellinus_robiniae_FP135708_A10G,3.68,4.52,8.28,0.31,1.84,2.432534738,-0.63,30.2,2.3,5.17
30,Phellinus_robiniae_AZ15_A10H Banik/Mark,2.22,6.12,26.29,0.31,1.79,2.257182749,-0.62,28.7,2.14,7.1
31,Phlebia_acerina_MR4280_B9G,11.88,24.59,16.18,0.1,1.29,10.24630966,-0.24,27.7,8.75,16.78
32,Phlebia_acerina_DR60_A8A,5.97,21.1,73.39,0.34,1.62,10.27076125,-0.71,26.6,8.51,20.98
33,Pycnoporus_sanguineus_PR_SC_95_A11C,4.44,18.3,37.43,0.37,2.08,5.075268467,-0.57,37.8,4.97,14.49
34,Schizophyllum_commune_TJV93_5_A10A,3.92,2.02,12.69,0.47,2.67,6.889311397,-0.73,32.3,4.41,4.65
35,Schizophyllum_commune_PR1117,2.55,3.32,6.87,0.42,2.74,3.646786106,-0.82,32.8,2.57,3.88
36,Tyromyces_chioneus_HHB11933_B10F,5.35,16.74,29.06,0.08,1.27,3.550964764,-0.22,30.6,3.88,13.75
37,Xylobolus_subpileatus_FP102567_A11A,2.17,7.45,8.55,0.29,5.25,0.849988118,-0.88,22.2,0.77,5.17
